구,동,지하철역 수,면적(km2),면적당 지하철역 수
강남구,개포2동,3,2.51,1.1952191235059761
강남구,논현1동,3,1.25,2.4
강남구,논현2동,2,1.47,1.3605442176870748
강남구,대치1동,1,0.79,1.2658227848101264
강남구,대치2동,2,2.0,1.0
강남구,도곡1동,3,1.02,2.941176470588235
강남구,도곡2동,1,1.02,0.9803921568627451
강남구,삼성1동,2,1.94,1.0309278350515465
강남구,삼성2동,1,1.24,0.8064516129032259
강남구,수서동,1,1.43,0.6993006993006994
강남구,신사동,1,1.89,0.5291005291005292
강남구,역삼1동,4,2.35,1.702127659574468
강남구,일원1동,1,0.92,1.0869565217391304
강남구,일원본동,1,2.58,0.38759689922480617
강동구,고덕1동,1,1.51,0.6622516556291391
강동구,길동,1,1.61,0.6211180124223602
강동구,둔촌1동,1,0.92,1.0869565217391304
강동구,명일1동,1,0.61,1.639344262295082
강동구,상일1동,1,1.82,0.5494505494505494
강동구,성내1동,2,0.58,3.4482758620689657
강동구,성내2동,3,0.67,4.477611940298507
강동구,암사2동,1,1.18,0.8474576271186441
강동구,천호1동,1,0.71,1.4084507042253522
강북구,미아동,1,0.93,1.075268817204301
강북구,송중동,1,1.01,0.9900990099009901
강북구,수유3동,1,0.72,1.3888888888888888
강서구,공항동,2,10.87,0.18399264029438825
강서구,발산1동,1,2.94,0.3401360544217687
강서구,방화2동,2,6.41,0.31201248049922
강서구,방화3동,1,2.55,0.3921568627450981
강서구,염창동,1,1.74,0.5747126436781609
강서구,우장산동,1,1.36,0.7352941176470588
강서구,화곡1동,1,1.12,0.8928571428571428
강서구,화곡8동,1,0.53,1.8867924528301885
관악구,낙성대동,1,2.27,0.44052863436123346
관악구,남현동,6,3.27,1.8348623853211008
관악구,서원동,1,0.65,1.5384615384615383
관악구,신사동,1,0.64,1.5625
관악구,은천동,1,0.78,1.282051282051282
관악구,인헌동,1,1.08,0.9259259259259258
광진구,구의3동,1,1.02,0.9803921568627451
광진구,군자동,2,0.74,2.7027027027027026
광진구,능동,1,1.1,0.9090909090909091
광진구,자양2동,1,1.68,0.5952380952380952
광진구,자양4동,1,1.16,0.8620689655172414
광진구,중곡3동,1,0.6,1.6666666666666667
광진구,화양동,1,1.16,0.8620689655172414
구로구,개봉2동,1,0.8,1.25
구로구,구로1동,1,1.02,0.9803921568627451
구로구,구로3동,1,1.02,0.9803921568627451
구로구,구로4동,2,0.46,4.3478260869565215
구로구,구로5동,2,1.03,1.941747572815534
구로구,수궁동,1,2.67,0.37453183520599254
구로구,신도림동,1,1.47,0.6802721088435374
구로구,오류2동,2,3.2,0.625
금천구,가산동,2,2.52,0.7936507936507936
금천구,시흥1동,1,1.71,0.5847953216374269
노원구,공릉1동,2,1.41,1.4184397163120568
노원구,공릉2동,1,6.82,0.14662756598240467
노원구,상계1동,1,5.62,0.17793594306049823
노원구,상계2동,1,0.61,1.639344262295082
노원구,상계3.4동,1,5.05,0.19801980198019803
노원구,상계5동,1,1.01,0.9900990099009901
노원구,상계8동,1,0.67,1.4925373134328357
노원구,월계1동,1,1.16,0.8620689655172414
노원구,월계2동,2,1.94,1.0309278350515465
노원구,중계2.3동,1,0.9,1.1111111111111112
노원구,하계2동,1,0.51,1.9607843137254901
도봉구,도봉2동,2,0.83,2.4096385542168677
도봉구,방학1동,1,0.69,1.4492753623188408
도봉구,창1동,1,0.88,1.1363636363636365
도봉구,창5동,1,0.7,1.4285714285714286
동대문구,용신동,3,1.61,1.8633540372670807
동대문구,이문1동,1,1.04,0.9615384615384615
동대문구,이문2동,1,0.69,1.4492753623188408
동대문구,장안1동,1,1.25,0.8
동대문구,전농1동,1,1.19,0.8403361344537815
동대문구,제기동,1,1.18,0.8474576271186441
동대문구,청량리동,1,1.2,0.8333333333333334
동대문구,휘경1동,1,0.63,1.5873015873015872
동작구,노량진1동,1,1.58,0.6329113924050632
동작구,대방동,2,1.55,1.2903225806451613
동작구,사당1동,1,0.79,1.2658227848101264
동작구,사당2동,3,2.75,1.0909090909090908
동작구,사당4동,1,0.38,2.6315789473684212
동작구,상도1동,2,1.51,1.3245033112582782
동작구,상도2동,1,0.98,1.0204081632653061
마포구,공덕동,1,1.01,0.9900990099009901
마포구,대흥동,1,0.87,1.1494252873563218
마포구,망원1동,1,1.13,0.8849557522123894
마포구,상암동,3,8.4,0.35714285714285715
마포구,서강동,2,1.45,1.3793103448275863
마포구,서교동,1,1.65,0.6060606060606061
마포구,성산2동,2,2.07,0.9661835748792271
마포구,아현동,3,0.76,3.9473684210526314
마포구,용강동,1,0.84,1.1904761904761905
마포구,합정동,1,1.72,0.5813953488372093
서대문구,남가좌1동,1,0.51,1.9607843137254901
서대문구,신촌동,5,2.63,1.9011406844106464
서대문구,천연동,2,0.97,2.061855670103093
서대문구,충현동,2,1.12,1.7857142857142856
서대문구,홍제1동,1,1.23,0.8130081300813008
서대문구,홍제2동,1,1.05,0.9523809523809523
서초구,반포1동,1,1.0,1.0
서초구,반포4동,1,1.43,0.6993006993006994
서초구,방배3동,1,2.4,0.4166666666666667
서초구,방배4동,1,0.98,1.0204081632653061
서초구,서초3동,2,2.93,0.68259385665529
서초구,서초4동,1,0.88,1.1363636363636365
서초구,잠원동,1,1.76,0.5681818181818182
성동구,금호1가동,1,0.46,2.1739130434782608
성동구,금호4가동,1,0.84,1.1904761904761905
성동구,마장동,1,1.05,0.9523809523809523
성동구,사근동,1,1.1,0.9090909090909091
성동구,성수1가2동,1,0.89,1.1235955056179776
성동구,성수2가3동,1,1.03,0.970873786407767
성동구,옥수동,1,1.94,0.5154639175257733
성동구,왕십리2동,1,0.41,2.4390243902439024
성동구,용답동,3,2.31,1.2987012987012987
성동구,응봉동,1,0.57,1.7543859649122808
성동구,행당1동,1,0.59,1.6949152542372883
성동구,행당2동,1,0.42,2.380952380952381
성북구,길음1동,1,0.79,1.2658227848101264
성북구,동선동,1,0.73,1.36986301369863
성북구,보문동,1,0.56,1.7857142857142856
성북구,석관동,1,1.73,0.5780346820809249
성북구,성북동,1,2.86,0.3496503496503497
성북구,안암동,3,1.33,2.255639097744361
성북구,월곡2동,2,1.36,1.4705882352941175
성북구,장위2동,1,0.67,1.4925373134328357
송파구,가락1동,2,1.34,1.4925373134328357
송파구,가락2동,1,0.96,1.0416666666666667
송파구,가락본동,1,1.13,0.8849557522123894
송파구,거여1동,1,0.51,1.9607843137254901
송파구,마천1동,1,0.58,1.7241379310344829
송파구,문정2동,2,2.2,0.9090909090909091
송파구,방이1동,1,0.5,2.0
송파구,석촌동,1,0.95,1.0526315789473684
송파구,오륜동,1,3.17,0.31545741324921134
송파구,위례동,1,2.55,0.3921568627450981
송파구,잠실3동,1,1.49,0.6711409395973155
송파구,잠실4동,1,1.56,0.641025641025641
송파구,잠실6동,2,2.79,0.7168458781362007
송파구,잠실7동,1,0.6,1.6666666666666667
양천구,목1동,2,1.41,1.4184397163120568
양천구,목2동,1,1.03,0.970873786407767
양천구,목3동,1,0.53,1.8867924528301885
양천구,신정1동,1,0.7,1.4285714285714286
양천구,신정4동,1,1.01,0.9900990099009901
양천구,신정7동,1,1.21,0.8264462809917356
영등포구,당산1동,1,0.75,1.3333333333333333
영등포구,당산2동,2,1.55,1.2903225806451613
영등포구,대림2동,1,0.55,1.8181818181818181
영등포구,대림3동,1,0.95,1.0526315789473684
영등포구,문래동,1,1.49,0.6711409395973155
영등포구,신길6동,1,0.65,1.5384615384615383
영등포구,신길7동,2,0.64,3.125
영등포구,양평1동,1,0.88,1.1363636363636365
영등포구,양평2동,1,3.0,0.3333333333333333
영등포구,여의동,4,8.4,0.47619047619047616
영등포구,영등포동,1,1.26,0.7936507936507936
영등포구,영등포본동,2,1.02,1.9607843137254901
용산구,남영동,2,1.19,1.680672268907563
용산구,서빙고동,1,2.8,0.35714285714285715
용산구,원효로1동,1,0.59,1.6949152542372883
용산구,이촌1동,1,2.86,0.3496503496503497
용산구,이태원1동,1,0.57,1.7543859649122808
용산구,이태원2동,1,0.86,1.1627906976744187
용산구,한강로동,3,2.9,1.0344827586206897
용산구,한남동,3,3.01,0.9966777408637875
용산구,효창동,1,0.44,2.272727272727273
은평구,갈현1동,1,0.97,1.0309278350515465
은평구,갈현2동,1,0.96,1.0416666666666667
은평구,녹번동,1,1.79,0.5586592178770949
은평구,대조동,1,0.85,1.1764705882352942
은평구,불광1동,1,3.13,0.3194888178913738
은평구,신사2동,1,1.0,1.0
은평구,역촌동,1,1.16,0.8620689655172414
은평구,응암1동,1,1.2,0.8333333333333334
은평구,증산동,1,0.81,1.2345679012345678
은평구,진관동,1,11.53,0.08673026886383348
종로구,가회동,1,0.54,1.8518518518518516
종로구,사직동,2,1.23,1.6260162601626016
종로구,숭인2동,1,0.35,2.857142857142857
종로구,종로1.2.3.4가동,2,2.35,0.851063829787234
종로구,종로5.6가동,1,0.6,1.6666666666666667
종로구,창신1동,1,0.31,3.2258064516129035
종로구,창신3동,1,0.23,4.3478260869565215
종로구,혜화동,1,1.12,0.8928571428571428
중구,광희동,3,0.74,4.054054054054054
중구,다산동,1,0.51,1.9607843137254901
중구,명동,2,0.99,2.0202020202020203
중구,소공동,2,0.95,2.1052631578947367
중구,신당동,1,0.55,1.8181818181818181
중구,약수동,1,0.48,2.0833333333333335
중구,을지로동,3,0.6,5.0
중구,장충동,1,1.36,0.7352941176470588
중구,필동,1,1.14,0.8771929824561404
중구,황학동,1,0.33,3.0303030303030303
중구,회현동,2,0.84,2.380952380952381
중랑구,면목4동,1,0.87,1.1494252873563218
중랑구,면목7동,1,1.2,0.8333333333333334
중랑구,면목본동,1,0.84,1.1904761904761905
중랑구,묵1동,1,1.2,0.8333333333333334
중랑구,상봉1동,1,0.88,1.1363636363636365
중랑구,상봉2동,1,0.65,1.5384615384615383
중랑구,신내1동,1,2.56,0.390625
중랑구,중화1동,1,0.64,1.5625
