학원명,도로명주소,구,동,x,y
김이채학원,서울특별시 강남구 남부순환로395길 9,없음,없음,127.0609483,37.4941777
모티브학원,서울특별시 강남구 삼성로 343,없음,없음,127.0587731,37.5021222
패러곤보습학원,서울특별시 강남구 남부순환로 3032,없음,없음,127.058717,37.4919843
올리브미술학원,서울특별시 강남구 선릉로 338,없음,없음,127.0515368,37.4999055
왕의아이들(KCLA)어학원,서울특별시 강남구 봉은사로48길 30,없음,없음,127.0419298,37.5076352
선혜영교습소,서울특별시 강남구 봉은사로5길 14,없음,없음,127.0262055,37.5057117
이동민교습소,서울특별시 강남구 압구정로 42길,없음,없음,127.0348796,37.5264776
멜로디피아노,서울특별시 서초구 신반포로19길 10,없음,없음,126.9958493,37.5049706
수학나라교습소,서울특별시 강남구 남부순환로365길 42,없음,없음,127.0395944,37.4876219
언주바이올린교습소,서울특별시 강남구 남부순환로365길 42,없음,없음,127.0395944,37.4876219
조명성피아노교습소,서울특별시 강남구 개포로 310-21,없음,없음,127.0645824,37.4868621
피아노치는친구들,서울특별시 강남구 선릉로 7,없음,없음,127.0489432,37.5006784
예종발레무용교습소,서울특별시 강남구 남부순환로 3032,없음,없음,127.058717,37.4919843
전희재국어교습소,서울특별시 강남구 남부순환로365길 42,없음,없음,127.0395944,37.4876219
에이티에이포트폴리오학원,서울특별시 강남구 논현로175길 19,없음,없음,127.0271274,37.5257236
글로벌셀러컬리지학원,서울특별시 강남구 강남대로110길 20,없음,없음,127.0287801,37.5036705
홍익미술교습소,서울특별시 강남구 남부순환로365길 42,없음,없음,127.0395944,37.4876219
피아노포르테음악교습소,서울특별시 강남구 영동대로128길 15,없음,없음,127.0608234,37.5192819
비해당국선생국어교습소,서울특별시 강남구 영동대로128길 15,없음,없음,127.0608234,37.5192819
웨이브러닝어학원,서울특별시 강남구 남부순환로 3032,없음,없음,127.058717,37.4919843
피아노이야기음악교습소,서울특별시 강남구 남부순환로365길 42,없음,없음,127.0395944,37.4876219
논리정연수학교습소,서울특별시 강남구 삼성로76길 31,없음,없음,127.0608171,37.5046893
"소리하라,보이스펙트보컬아카데미학원",서울특별시 강남구 강남대로110길 26,없음,없음,127.0269675,37.5036062
생담수수학교습소,서울특별시 강남구 학동로 415,없음,없음,127.0454753,37.5182626
배우의길연기학원,서울특별시 강남구 학동로33길 8,없음,없음,127.0323538,37.5163751
쉿연기학원,서울특별시 강남구 논현로131길 33,없음,없음,127.0283924,37.5140664
디제이소사이어티학원,서울특별시 강남구 압구정로12길 13,없음,없음,127.0373028,37.5265851
영어뜰영어교습소,서울특별시 강남구 영동대로65길 13,없음,없음,127.0638902,37.5016678
라인액팅스쿨학원,서울특별시 강남구 학동로33길 8,없음,없음,127.0323538,37.5163751
시선연기학원,서울특별시 강남구 도산대로13길 5,없음,없음,127.0383259,37.5253465
창투창과학교습소,서울특별시 강남구 학동로56길 8,없음,없음,127.0430995,37.5146446
남교수영어교습소,서울특별시 강남구 삼성로51길 10-20,없음,없음,127.0607451,37.4975765
그라시아스댄스학원,서울특별시 강남구 역삼로7길 7,없음,없음,127.0329841,37.4944783
클러스(CLUS)원격학원,서울특별시 강남구 선릉로 303,없음,없음,127.0489432,37.5006784
대치파인만학원,서울특별시 강남구 남부순환로 3032,없음,없음,127.058717,37.4919843
유정,서울특별시 강동구 양재대로84길 21,없음,없음,127.1405618,37.5408397
피아노교습소(김소옥),서울특별시 강동구 양재대로 1340,없음,없음,127.1405618,37.5408397
주아트미술교습소,서울특별시 노원구 섬밭로 285,없음,없음,127.0620278,37.6408062
양떼구름미술학원,서울특별시 마포구 만리재로 20-1,없음,없음,126.9571524,37.5471115
성산영어교습소,서울특별시 마포구 월드컵로7길 27,없음,없음,126.9098349,37.5521858
한일영어훈련소학원,서울특별시 마포구 백범로 157,없음,없음,126.9449685,37.5478593
모네의정원미술교습소,서울특별시 서대문구 성산로 695,없음,없음,126.9387084,37.5660057
최단비영어교습소,서울특별시 서대문구 통일로9길 12,없음,없음,126.964339,37.567275
로만피아노음악교습소,서울특별시 서대문구 통일로 500,없음,없음,126.9514843,37.579837
광지독서실,서울특별시 서초구 신반포로 27-12,없음,없음,126.9874314,37.5026319
스터디하우스잠원독서실,서울특별시 서초구 잠원로8길 25,없음,없음,127.0116337,37.5143551
잠원수도컴퓨터학원,서울특별시 서초구 잠원로8길 25,없음,없음,127.0116337,37.5143551
최고수학학원,서울특별시 서초구 신반포로 22,없음,없음,126.9872022,37.5010953
피아노포르테피아노교습소,서울특별시 서초구 신반포로 143,없음,없음,127.0011512,37.5054982
해바라기미술교습소,서울특별시 서초구 잠원로4길 54,없음,없음,127.0107095,37.5126755
박진우교습소,서울특별시 서초구 신반포로19길 10,없음,없음,126.9958493,37.5049706
강정옥교습소,서울특별시 서초구 신반포로19길 10,없음,없음,126.9958493,37.5049706
피아노쥬이르음악교습소,서울특별시 서초구 서운로 208,없음,없음,127.0252582,37.4944992
전민숙피아노,서울특별시 서초구 신반포로 143,없음,없음,127.0011512,37.5054982
멘토2관학원,서울특별시 서초구 신반포로 22?,없음,없음,126.9872022,37.5010953
한자365한문교습소,서울특별시 서초구 신반포로 143,없음,없음,127.0011512,37.5054982
반포연세피아노교습소,서울특별시 서초구 신반포로 45,없음,없음,126.9890818,37.5052431
선과색미술교습소,서울특별시 서초구 방배로 27,없음,없음,126.9949218,37.486721
제네시스수학학원,서울특별시 서초구 신반포로 41,없음,없음,126.9921817,37.5042353
이탑수학교습소,서울특별시 서초구 잠원로8길 25,없음,없음,127.0116337,37.5143551
엘림영어교습소,서울특별시 서초구 잠원로8길 25,없음,없음,127.0116337,37.5143551
놀이공작실미술교습소,서울특별시 서초구 효령로 401,없음,없음,127.007725,37.4832702
이강토혁신수학교습소,서울특별시 서초구 방배로 27,없음,없음,126.9949218,37.486721
한국예술뷰티아카데미학원,서울특별시 서초구 강남대로 537,없음,없음,127.0305252,37.4904509
윤선생영어숲반포학원,서울특별시 서초구 서초대로51길 13,없음,없음,127.0140554,37.4951451
이주미영어교습소,서울특별시 서초구 효령로 401,없음,없음,127.007725,37.4832702
와이제이클라식(YJKlassik)피아노교습소,서울특별시 서초구 방배로 27,없음,없음,126.9949218,37.486721
이룸(e)학원,서울특별시 서초구 신반포로 22,없음,없음,126.9872022,37.5010953
마쌤영어보습학원,서울특별시 서초구 신반포로 38,없음,없음,126.9888888,37.501404
수학쟁이들학원,서울특별시 서초구 신반포로 143,없음,없음,127.0011512,37.5054982
신대찬학원,서울특별시 서초구 신반포로 50,없음,없음,126.9901541,37.5017762
아카데미라운지구반포독서실,서울특별시 서초구 신반포로 27-12,없음,없음,126.9874314,37.5026319
수학스쿨(SCHOOL)학원,서울특별시 서초구 신반포로 50,없음,없음,126.9901541,37.5017762
엔터스카이학원,서울특별시 서초구 신반포로 31,없음,없음,126.9834828,37.501562
원패스에듀진학상담.지도교습소,서울특별시 서초구 신반포로 22,없음,없음,126.9872022,37.5010953
마녀쌤영어3관학원,서울특별시 서초구 신반포로 22,없음,없음,126.9872022,37.5010953
참좋은독서실,서울특별시 서초구 신반포로 22,없음,없음,126.9872022,37.5010953
나무수학교습소,서울특별시 서초구 잠원로8길 25,없음,없음,127.0116337,37.5143551
허쌤수학학원,서울특별시 서초구 신반포로 50,없음,없음,126.9901541,37.5017762
마녀쌤영어학원,서울특별시 서초구 신반포로 22,없음,없음,126.9872022,37.5010953
유철환영어전문학원,서울특별시 서초구 신반포로 38,없음,없음,126.9888888,37.501404
수담수학교습소,서울특별시 성동구 성수이로26길 66,없음,없음,127.0645098,37.5442299
예랑음악학원,서울특별시 송파구 송이로33길 19,없음,없음,127.1332907,37.4875869
이레미술과외교습소,서울특별시 송파구 마천로 334,없음,없음,127.1386821,37.5016681
풍묵헌,서울특별시 송파구 가락로28길 9,없음,없음,127.1169509,37.5061974
피아노하우스음악교습소,서울특별시 영등포구 가마산로79길 46,없음,없음,126.9182509,37.5082294
아이맥스2관학원,서울특별시 영등포구 가마산로79길 46,없음,없음,126.9182509,37.5082294
피에스에이용산어학학원,서울특별시 용산구 신흥로 14  1,없음,없음,126.9869395,37.53984
위드제이역촌캠퍼스학원,서울특별시 은평구 은평로3길 23,없음,없음,126.9149622,37.6010103
미래엔갈현수학교습소,서울특별시 은평구 통일로87길 9-18,없음,없음,126.9180145,37.623232
유토킹영어교습소,서울특별시 은평구 은평로18길 5-1,없음,없음,126.9308256,37.6004136
예인음악교습소,서울특별시 은평구 증산로17길 53-2,없음,없음,126.9074372,37.5915684
짚셈과학전문학원,서울특별시 은평구 갈현로 250,없음,없음,126.9156754,37.6191494
상상하는나무미술교습소,서울특별시 은평구 연서로 18길14,없음,없음,126.9190089,37.6120986
아스카일본어학원,서울특별시 은평구 서오릉로 115,없음,없음,126.9192577,37.6097646
미드림피부네일미용학원,서울특별시 은평구 가좌로 280,없음,없음,126.9131387,37.5936409
연서영수학원,서울특별시 은평구 연서로3길 40,없음,없음,126.9113255,37.6030679
팩토수학교실증산교육센터수학교습소,서울특별시 은평구 증산서길 64-9,없음,없음,126.9059742,37.58217
토즈스터디센터응암독서실,서울특별시 은평구 은평로 97,없음,없음,126.9184293,37.5998536
올리브그린미술교습소,서울특별시 은평구 통일로69길 24,없음,없음,126.9265397,37.6111467