법정동명,mean_vlue/m**2
가락동,1231.7903965010369
가리봉동,573.0541634296474
가산동,802.2711024615851
가양동,1114.016098741508
가회동,1533.384690128132
갈월동,1335.768499329385
갈현동,622.6874772448348
강일동,867.5673543264676
개봉동,642.198913673007
개포동,1912.1155054525316
개화동,796.8888699950389
거여동,1147.1020641316406
견지동,759.1113341787506
경운동,828.7244641306623
계동,1361.003456051058
고덕동,1396.8442176257818
고척동,672.0507071318708
공덕동,1241.1461114014626
공릉동,740.4359743503127
공항동,701.7873081100278
관수동,2073.164158168522
관철동,783.48967330382
관훈동,2435.210008936551
광장동,1295.4765588286507
광희동1가,575.5312108048271
광희동2가,1165.6099050317093
교남동,1822.1595974463874
교북동,1831.3681423821247
구기동,637.5192643603981
구로동,696.6223897545701
구산동,543.370428288608
구수동,895.8935096759025
구의동,827.1421901045115
군자동,805.0556878105668
궁동,562.0948177696125
권농동,2164.9448743664466
금호동1가,1318.6734230967393
금호동2가,1737.8418298201836
금호동3가,1299.535526445323
금호동4가,1688.4263297329924
길동,822.9579495967032
길음동,1176.7348329503216
낙원동,804.0610946073531
남가좌동,1070.1517716653823
남대문로5가,1215.1850373509826
남산동1가,2352.9411764705883
남산동2가,730.93005535929
남영동,1899.957815478749
남창동,981.8129401863296
남학동,743.3470439565885
남현동,801.6166559919404
내곡동,1761.729145593417
내발산동,845.104806500137
내수동,873.5055637674698
내자동,4830.377435064935
냉천동,1345.1636773815278
노고산동,1225.2836040942507
노량진동,1240.5563738008996
녹번동,765.060542911297
논현동,1294.121791859783
누상동,616.604373215851
누하동,1249.43569640305
능동,832.0587869353105
답십리동,1033.0427906135849
당산동,1020.9521095765513
당산동1가,1042.921137048827
당산동2가,1091.2138765111958
당산동3가,1107.8635727421556
당산동4가,1254.0973739952483
당산동5가,1066.7141529213282
당산동6가,939.0529538324583
당인동,932.3784550347522
당주동,822.3889355359054
대림동,823.3275678818814
대방동,1075.2217532134002
대신동,943.4122560239196
대조동,763.8837515335712
대치동,1886.515444461065
대현동,1103.644254004065
대흥동,1386.5771267591433
도곡동,1885.62988967911
도림동,807.8053981779913
도봉동,532.6873917172597
도선동,1016.1074075266221
도원동,1414.8956273578433
도화동,1115.1496541313893
독산동,754.856102141633
돈암동,897.6260351161326
돈의동,648.6826337557226
동교동,869.8741266833235
동빙고동,2205.0448863415304
동선동1가,708.3312490851654
동선동2가,450.1770742497656
동선동3가,613.7847632849428
동선동4가,796.0232220542408
동선동5가,625.9874664759185
동소문동1가,915.4786009604542
동소문동2가,1682.6015779785096
동소문동4가,700.8972910936039
동소문동5가,1199.83200078494
동소문동6가,1006.0546786729599
동소문동7가,906.9519107494523
동숭동,599.5608951697823
동자동,1227.583988671282
동작동,1242.2933419704775
둔촌동,945.9660914501374
등촌동,834.6121402049974
마곡동,933.6486568257651
마장동,1016.7543497189868
마천동,984.8455609908901
마포동,1050.6375229952414
만리동1가,1080.7413963066176
만리동2가,1743.0261841152624
망우동,585.9538380154931
망원동,837.5041557441025
면목동,695.504848177
명륜1가,771.8894372439862
명륜2가,1081.8847458031569
명륜3가,560.1171860886898
명륜4가,1072.6897972692284
명일동,1178.2667782478213
목동,899.1160451080611
무악동,1353.994048077275
묵동,695.8500263054375
묵정동,805.4203602030348
문래동1가,1457.4121249574598
문래동2가,1381.707991364562
문래동3가,1173.6265729607032
문래동4가,1160.339145685193
문래동5가,873.5669134952815
문래동6가,895.4314753305616
문배동,1144.3851060101374
문정동,1012.2710763093386
미근동,1176.4710652546037
미아동,692.6105222329063
반포동,2372.468261623109
방배동,1481.6187633655054
방이동,1024.4369475819906
방학동,503.0257015066834
방화동,789.7924485825091
번동,525.434232321233
보광동,2156.371204011263
보문동1가,1886.2427459854866
보문동2가,702.4595064727405
보문동3가,1090.962823707888
보문동4가,820.7974238092858
보문동5가,696.258375403158
보문동6가,1256.635030519665
보문동7가,677.0675223642487
본동,1422.83340133535
봉원동,807.4832107451232
봉익동,2176.1996798250752
봉천동,806.8917796392411
부암동,699.7049666236044
북가좌동,722.5211246433646
북아현동,1570.5711475026103
불광동,730.1375472343232
사간동,2569.9847298292993
사근동,716.1024083236006
사당동,991.5366705908995
사직동,1102.9464453703054
산림동,2899.2044170575195
산천동,1361.1959073667947
삼선동1가,649.0864340825534
삼선동2가,987.2415158341178
삼선동3가,835.8034078430618
삼선동4가,1015.0103901206196
삼선동5가,584.1762407465378
삼성동,1744.527941826158
삼전동,877.7578180834014
삼청동,1205.6101801073407
상계동,826.6388574556761
상도1동,775.5085657199572
상도동,972.7869436050371
상봉동,832.7196836435054
상수동,1142.1666824270756
상암동,975.9959168581831
상왕십리동,1441.1360376562438
상월곡동,776.3333305842573
상일동,1354.4635981281338
서계동,1322.393374721407
서교동,959.4585504085243
서빙고동,1752.9330454286378
서초동,1229.374278465814
석관동,749.4491262300301
석촌동,947.7492045015752
성내동,889.4364396610185
성북동,945.4657326078224
성북동1가,765.1943822682449
성산동,917.915791011987
성수동1가,1701.5132846225515
성수동2가,1851.1903594414387
세곡동,1486.704173198996
소격동,2016.7098818784211
송정동,789.0023859641193
송파동,1084.1492582982446
수색동,1106.065139813913
수서동,1897.7408177271222
수송동,915.4702032070986
수유동,478.87393232608434
순화동,1228.6114939786949
숭인동,808.7893940664007
시흥동,617.957082304496
신계동,1861.8237356812408
신공덕동,1247.7955510440518
신교동,633.7291681964701
신길동,1089.9089471149214
신내동,767.0216518930265
신당동,1073.5534024303704
신대방동,936.2905842668831
신도림동,1200.395652587139
신림동,682.3855607981033
신문로1가,1043.668943768537
신문로2가,1779.529325182729
신사동,733.023810499693
신설동,754.3008153984621
신수동,1158.3434512727656
신영동,692.7942785588605
신원동,1479.2750616746105
신월동,580.2523049697024
신정동,1033.6977677630327
신창동,1122.3389841460064
신천동,1978.1953811323003
신촌동,633.800596078614
쌍림동,1260.069508160579
쌍문동,532.102517459154
아현동,1625.7180330865174
안국동,2052.9663862760863
안암동1가,902.1308337446852
안암동2가,607.833295313323
안암동3가,602.1081368651292
안암동4가,523.705664209919
안암동5가,596.4348009823025
암사동,974.4904975935733
압구정동,2774.2474674297173
양재동,1028.1213955079072
양평동1가,1319.9684676440006
양평동2가,742.2686316361921
양평동3가,1031.3768830518136
양평동4가,937.7222176187306
양평동5가,1210.2701317088226
양평동6가,1022.7240222073942
여의도동,1173.0172486369047
역삼동,1322.408086974447
역촌동,580.9167444148013
연건동,775.2791078808634
연남동,1015.4121607842832
연지동,1049.8304032046656
연희동,698.3121072093611
염곡동,1125.3918590933417
염리동,1800.917030338866
염창동,1032.419637458082
영등포동,1194.716130211776
영등포동1가,1024.6425566858636
영등포동2가,1102.303919995852
영등포동3가,1111.6530820955884
영등포동4가,845.2936818173066
영등포동5가,1146.2733719974538
영등포동6가,1024.9160109325715
영등포동7가,1211.3860094083273
영등포동8가,1121.3079297226907
영천동,1094.0963517526925
예장동,755.4460384491591
오금동,943.6969939557114
오류동,598.2352643255365
오장동,1277.1136747415678
옥수동,1696.7726369264615
옥인동,1062.4437376179249
옥천동,842.5092531865249
온수동,664.6112116086218
와룡동,787.603402073867
외발산동,339.4393764554386
용강동,1348.7621955525738
용답동,861.4120347719335
용두동,935.5277352647277
용문동,1249.3955147063468
용산동2가,803.8227995512524
용산동3가,2786.650461090401
용산동5가,1862.9265463228917
우면동,1294.6350529723356
우이동,501.76849061835475
운니동,859.7666247572604
원남동,888.4593276501652
원서동,638.8766206168292
원지동,1007.0507020004277
원효로1가,1441.733063624139
원효로2가,1345.4652971410244
원효로3가,1254.0992121001718
원효로4가,1580.028467772567
월계동,860.2552761173621
율현동,1227.3940182968531
을지로2가,919.3892657550716
을지로3가,1320.1776893645572
을지로4가,945.5436881582615
을지로5가,591.0065401160022
을지로6가,647.1992355773806
을지로7가,1290.324185615129
응봉동,1068.314445926885
응암동,719.085695596915
의주로1가,670.5187480270243
이문동,1037.8602779076025
이촌동,1935.8255686346833
이태원동,1181.5803799291295
이화동,1025.5364422393147
익선동,777.8766823154655
인사동,3520.488573286905
인의동,974.6343097009719
인현동1가,560.4982206405693
인현동2가,629.6995613846178
일원동,1984.0555525968728
입정동,3469.146863075754
자곡동,984.2204912618721
자양동,1090.8548397042891
잠실동,1922.6535026365957
잠원동,2544.630592324777
장사동,1727.0864279077664
장안동,763.7459916475977
장위동,801.1983206258221
장지동,1726.5472854343257
장충동1가,911.9757980710002
장충동2가,638.8884226504133
재동,2212.2658252714295
저동1가,2019.1923230707716
저동2가,1222.6762127617535
적선동,707.7049209082817
전농동,1072.8216214213205
정동,1719.725212677544
정릉동,648.6735237281611
제기동,839.6111746848766
종로1가,789.2902804451572
종로5가,3046.829266105023
종로6가,952.1844921035218
종암동,855.8958493928375
주교동,1498.1765987239496
주성동,2287.7446570195702
중계동,891.8056357168231
중곡동,698.1892376003262
중동,915.0337113809933
중림동,1278.8082519533273
중화동,654.6995386840099
증산동,896.3531620514227
진관동,869.9059807710659
창동,691.5816670151253
창성동,2120.064163249549
창신동,861.9684354259628
창전동,1239.6685208073675
창천동,829.6573479334778
천연동,1171.5005863961271
천왕동,834.2342550375841
천호동,849.6987062697801
청담동,1854.4974813841893
청량리동,968.7419643873939
청암동,999.9144808197392
청운동,985.2305866745238
청파동1가,1095.5438227219472
청파동2가,1197.4999575910404
청파동3가,1215.7824196803285
체부동,1067.3795943865898
충무로2가,1272.0851667044228
충무로3가,839.7887098876635
충무로4가,1072.479072524054
충무로5가,996.8601840907729
충신동,542.5337914605276
충정로2가,684.1153253023608
충정로3가,1217.9825112456385
토정동,1537.936682146409
통의동,1631.469840237324
통인동,1313.7453431344757
팔판동,2008.0972177284211
평동,2244.317168184528
평창동,711.4837178068301
풍납동,1164.4707370274884
필동1가,768.3814492214079
필동2가,1102.1448459919727
필동3가,954.9651068487665
필운동,1009.0223705744836
하계동,892.1020419207891
하왕십리동,1364.1514342071478
하월곡동,919.9808704769373
하중동,1535.0275935207274
한강로1가,1244.5305002536104
한강로2가,1310.1049010040042
한강로3가,1575.5779043771302
한남동,1907.2545368826377
합동,821.1594905691142
합정동,985.5595800843574
항동,726.299785212252
행당동,1381.9421128742852
행촌동,583.4936820233288
현석동,1355.888355715335
현저동,1169.7738452142232
혜화동,886.9129597758186
홍은동,610.2091096424409
홍익동,978.8153624537317
홍제동,823.8656532784156
홍지동,528.2800271134405
홍파동,2083.9107363737694
화곡동,648.8367120682508
화동,1330.4174934376038
화양동,979.7409681554715
황학동,1038.6215577862524
회기동,792.6828429195173
회현동1가,1029.5442429456184
회현동2가,1031.0573641796063
효자동,1009.1354305872301
효제동,1411.8159863917022
효창동,1371.9408545105837
후암동,986.7278012033025
휘경동,889.179989690663
흑석동,1634.878492886757
흥인동,863.180365678763
